192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "python-keystoneclient"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 595 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/roles HTTP/1.1" 201 479 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/roles HTTP/1.1" 201 477 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:20 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.112 - - [29/Aug/2025:07:46:21 +0000] "POST /identity/v3/projects HTTP/1.1" 201 566 "-" "python-keystoneclient"
192.168.1.112 - - [29/Aug/2025:07:46:21 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:21 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.4.0 keystoneauth1/5.10.0 python-requests/2.32.3 CPython/3.10.12"
192.168.1.112 - - [29/Aug/2025:07:46:21 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
