192.168.1.142 - - [26/Aug/2025:00:22:14 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/7.81.0"
192.168.1.142 - - [26/Aug/2025:00:22:18 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:18 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:18 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1428 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/projects/6dc0782990cf412893325de1e531e83d HTTP/1.1" 200 593 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/users/11dda7e9f36c49debaf93cd95bef0f8a HTTP/1.1" 200 496 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "PUT /identity/v3/domains/default/users/11dda7e9f36c49debaf93cd95bef0f8a/roles/f328e28959134c098daa3b06350094a4 HTTP/1.1" 204 201 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/users/11dda7e9f36c49debaf93cd95bef0f8a HTTP/1.1" 200 496 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:19 +0000] "GET /identity/v3/role_assignments?role.id=f328e28959134c098daa3b06350094a4&scope.domain.id=default&user.id=11dda7e9f36c49debaf93cd95bef0f8a HTTP/1.1" 200 782 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "POST /identity/v3/projects HTTP/1.1" 201 555 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 595 "-" "python-keystoneclient"
192.168.1.142 - - [26/Aug/2025:00:22:20 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.0.1 keystoneauth1/5.8.1 python-requests/2.32.3 CPython/3.10.12"
